input	result
How can I get information about Alaska and work that might be available there? Answer: Commercial Fishing and Crabbing pays very well but is dangerous.	Business and Finance
I have a deep crack in my bottom lip. Not in the corner. anyone help please? Answer: use carmex lip balm or burts bees wax lip balm. these are the two that i have found work best. also drink lots of water to help keep your body hydrated.	Health
How many weeks can you receive unemployment compensation in the state of Illinois? Answer: 26 unless it is because of foreign competition then 52 weeks. If you go to school up to 2 years!	Politics and Government
what happends if u sleep overnight w/ the the liquidy kind of contacts in? or if u....? Answer: Don't make a habit of it and clean your contacts asap!	Health
What foods can I eat to prevent overgrowth of yeast? Answer: YOGURT	Health
can anbody tell me where i can get a free computer in the west yorkshire area i'm on a low income and a carer? Answer: www.freecycle.org	Computers and Internet
Can a batter be substituted in the middle of a count? Answer: Yes...if a player is injured during his at bat (ie: fouling a ball off of his body resulting in broken bones or getting a major muscle strain where he just can't swing/stand the pain)  It happened to Jermaine Dye when he was with Oakland.  They were playing the Yankees at Yankee Stadium and he fouled a ball off of his leg and shattered the bone below the knee.  Dye was carried off of the field by 2 players.  The batter who replaced him inherited his count.  I think it may have been a playoff game and El Duque was pitching (not positive about this).	Sports
what is the ideal or normal weight for a 37 year old to avoid any health risks? Answer: Depends on your height and gender. Check your BMI (body mass index) Google search it.	Health
verbs relating to hate ending in ed or ing? Answer: detested/detesting  abhorred/abhorring  loathed/loathing  despised/despising	Entertainment and Music
what does it mean to have middle back pain all the time? Answer: You might need to strengthen the muscles in that area.  Try doing some back exercises specific to that area.	Health
does star have an orbit ??? Answer: All stars orbit something. Sometimes a fellow star in a 2-star system. Sometimes the galaxy.	Science and Mathematics
what do you do when your boy/girlfriend goes to prom with someone else? Answer: Dump them!!!! No second thoughts about that.....	Family and Relationships
What is the current Labor shed statistics for Carol Stream IL? Answer: The official site is probably the best place to start research. http://www.carolstream.org/	Business and Finance
Greetnig Cards that wishes examination candidates success? Answer: Good Luck would be a proper card.	Education and Reference
who are the Essenes? Answer: i think moses	Science and Mathematics
options - is there a play with little or no down side risk and approx 5% a month on the upside? Answer: what wonkie language are you speaking?  Are you some self-styled day trader?	Business and Finance
Where does fertilization occur in humans? Answer: Normally in the fallopian tubes. the Cilla help push the fertilised egg along the tubes and then gets embeded into the side of the womb.this grows in to a baby.	Science and Mathematics
What's better: Backrub   or Bible? Answer: Backrub.  Bible won't suck on your ear.	Society and Culture
I have a 1999 Toyota Tacaoma PreRunner its a 4Cyl. and its not accelerating good. How can I fix this? Answer: put a V8 in it!!!!	Sports
is there a tribe in South Africa that speaks the kikuyu language? Answer: The Kikuyu (otherwise spelled Gikuyu) is Kenya's most populous ethnic group.  http://www.translation-services-usa.com/languages/kikuyu.shtml	Science and Mathematics
Best Program to use for Taxes/Inventory (Small home business).? Answer: Peachtree or Quickbooks are both recommended for small businesses.	Business and Finance
what type of job or career is best for an aquarian? Answer: What do you enjoy most? I think that your star sign is not very relevant. Star signs do not interpret specifically who you are. Try different casual jobs in different types of industries and see what aspect of those jobs you gained the most satisfaction from.	Business and Finance
I made project in Power Point . My project contain mp3 and mpeg file in definite folder.When I load my project Answer: the computer that you are trying to load it onto probably does not have the correct codecs installed to play those types of files.	Computers and Internet
What kind of credit limit can i get with a score of 644? Answer: MAYBE you will qualify for a dept. store card or a gas card. It is doubtful that you will qualify for an unsecured Visa/Mastercard until your score is over 700+. The amount of your credit limit will be based on what other revolving accounts you have and how you have handled them.  Good Luck	Business and Finance
if Jehovah's whiteness think they are Christens why wont they give blood to save a life? Answer: Good question.	Society and Culture
In to kill a mocking bird........? Answer: Sorry I can't help you with the page number - but if you know what chapter that is in you might be able to find the answer by using sparknotes http://www.sparknotes.com/lit/mocking/  Good Luck!!!	Education and Reference
How would you find out that a girl is in love with you? Answer: If you love her tell her if she says it back there is a good chance (80%) she does.	Family and Relationships
What was your most enjoyable dream?  What was your worst nightmare? Answer: My most enjoyable dream- let's just say I was doing intimate things with my boyfriend. :) My worst nightmare was when I was kidnapped from a supermarket. This lady flew over a wall of groceries & then snatch me away from my mother. I wonder what I could have eaten to have a dream like that! ;p	Business and Finance
how do you change the administrator password on win xp? Answer: 	Computers and Internet
Most popular form of Buddhism in North America? Why? Answer: http://www.buddhanet.net/e-learning/buddhistworld/to-west.htm  <<<scroll down to 'america'. hope this helps.  http://www.buddhanet.net/amdir_na.htm  <<<BuddhaNet Buddhist Amercias Directory	Society and Culture
3D graphics design? Answer: 3D Max and Maya still best for 3D graphic designs...	Computers and Internet
does anyone here play habbohotel and want 2 be friends? Answer: No  on the first part and maybe on the second part. I got to think it over first.	Family and Relationships
how do I find a person in another state? Answer: http://www.privateeye.com/processor.asp  http://find.intelius.com/search-name.php?searchform=name  Fee for both. Most you will pay is 10.00	Politics and Government
How could I handle on my pc the overlapping of different internet access.? Answer: not quite much information.  what i would do is disable ne 1 connection when the other one is active.	Computers and Internet
ok i had a maths exam today and i couldnt work out this equation i spent like 20 mins on it can you help? Answer: adding both 7a=21 dividing by 7 a=3 sub in (1) 15+3b=9 adding -15 3b=-6 dividing by 3 b=-2	Science and Mathematics
what is the aanswer to 0=+(-4)? Answer: that does not make sense	Education and Reference
who has no chance of winning a world cup in my life time? Answer: me me me me me	Sports
What is the sexiest thing you have bathed in? Answer: try creamed corn	Family and Relationships
What property is used to classify galaxies? Answer: Shape (like milky way or spiraly.	Business and Finance
What is the one thing people do that is almost instantly gong to make you insane? Answer: When people ask for your help to fix and or take a look at there computer then when you try to take a look they say well I usually have this that and this plugged in and I do this and when I do this it does that and you wonder why its not all working .  I can’t stand it!  Why have someone look at it if you’re going to proceed to do the same anyways? Another is when they say there computer keeps saying an error and asks what do you think is causing it?  You say what was the error message they say oh I don't know it was something about something but I can't remember.  That annoys me also.  When they say the virus scanner says there are virus on the computer I left the message there so you can take a look when you take a look it says cookies found.  I hate that it’s enough to make you want to do something and not in a good way.	Society and Culture
Why do they call it a racial slur? Answer: 	Society and Culture
What kind of site is ghhovrst.org ? Answer: The site looks like it is in Parking Mode used mostly for advertising and with all the messages showing from their so called message board they are used as a Google Bomb type application to get the site to list under many different types of search words	Computers and Internet
où puis-je trouver et télécharger gratuitement l'hymne du Japon? Answer: tu va sur http://editeurbouledeneige.free.fr/son/hymne2002.mp3	Sports
who wins the world cup soccer in 1974? Answer: The team who won the 1974 World Cup in West Germany was no other than the hosting nation.  I believe they won against Holland with a score of 2-1. The game was played in Munich.	Sports
anyone from light house evangelism church? Answer: info available at http://www.gtaust.com/articles/301003_lighthouse.shtml	Society and Culture
mobile phone email access provider for USA? Answer: When you say mobile phone I am assuming you mean a cell phone.With all major cell providers they provide wireless Internet access. My provides is Verizon and for extra $4.99 @ month I have Mobile Web where not only can I access the Internet and all my e-mail accounts I can also access my online databases.	Computers and Internet
what is the nicest but the meanest thing that your friend ever did to you? Answer: ummm..allow me a second of thought....i can't think of one..but isn't that like an oxymoron??	Family and Relationships
whats that one phrase about the divorced parent who cares more about their boyfriend/girlfriend instead of? Answer: selfish	Education and Reference
why most usa whites has superiority complex? Answer: You sure know a lot of white people. How many do you personally know? 50 million? 40 million? You sure get around.	Politics and Government
How one can remove the restriction that does not allow changing the home page on internet explorer? Answer: You should be able to go to Tools > internet options > and on the general tab ... change it there. I've never heard of a restriction not allowing it.	Computers and Internet
how do u know when your man love u and only u? Answer: Ny the look in his eyes when he is looking at you	Family and Relationships
If you dont with us you  are against us...do you believe in this LAW? Answer: wild law	Politics and Government
what is the diff between cheaty and cheety? Answer: One thing they have in common: neither is an English word.	Education and Reference
What type of shampoo do you use? Answer: I have the fine -oily hair. I have to wash every day or it looks terrible. I have recently found Aussie split personality. Now I only have to wash it every other day. Good stuff.	Health
What to do? Answer: Take Day or weekend trip to the beach together. Go to a nice country park for a romantic walk. Do some kind of sports activity. Go out for a meal together in the evening.	Family and Relationships
Is it true that Galileo calculated the dimensions of Hell? Answer: no	Society and Culture
when did chinese first start using compasses? Answer: The compass was invented by Chinese scientists thousands of years ago. The earliest recorded use of lodestone as a direction finder was in a 4th century Chinese book: Book of the Devil Valley Master.  About during Qin Dynasty.	Education and Reference
uses of parabolos? Answer: Satellite dishes	Science and Mathematics
Help with error on my PC:Your current security settings prohibit running ActiveX controls on this page.? Answer: Go to Tools->Internet Options->Security Tab->Custom Level->There you can see all the ActiveX settings. Try enabling them. Remember all at your own risk.	Computers and Internet
What does it mean to have the upper hand? Answer: The advantage.	Education and Reference
Are Scorpios an earth sign? Answer: They are Water signs.	Entertainment and Music
do u noe tis race? Answer: sperm	Entertainment and Music
do u noe tis race? Answer: sperm	Entertainment and Music
where can i find a laptop under 500.00???? Answer: ebay baby.	Computers and Internet
In what year were Iranian women finally allowed to compete in the Olympic games? Answer: 1968 - Iran sent only men to compete  1938 - There were no games in 1938  1896 - No women competed in th 1896 games  1996- Was the second time a Iranian woman competed.  Lida Fariman compted for Iran at the 1992 Barcelona Olympics in shooting.	Sports
please i need someone who is very good with 8th grade algebra by todays standards? Answer: patience bubba I just answered this for you in another q.	Education and Reference
define salamander & avalanche computer virus? Answer: http://www.f-secure.com/v-descs/avalanch.shtml I couldn't find information on salamander.	Computers and Internet
Can an animal hold dual passports? I want to spend half the year in Europe and take my cat.? Answer: that's sounds good but what's your mule think?  isn't he going to be just a little bit jealous?	Politics and Government
what is the pathophysiology of persistent pulmonary hypertension of the newborn? Answer: Try here:  http://neonatal.peds.washington.edu/NICU-WEB/pphn.stm	Education and Reference
is it true that tupac is still alive and faking he is dead? Answer: I'm not sure but go here where it says all of these clues about him being alive. It really got me thinking!http://www.konformist.com/rocknroll/tupaclives.htm Don't press any thing just scroll down. It's pretty long so I didn't get to finish it. I hope he's alive. If he's dead then may he rest in peace.	Entertainment and Music
Michael Hayden: An honest patriot who cares about freedom OR a lunatic rightwing-nutjob with no morals? Answer: Michael Hayden is a nazi. Plain and simple. He is a pure evil maniac that has got to be stopped.   WIRE TAPPING IS ILLEGAL!!!!!! It violates the constitution!	Politics and Government
Who would win Joe Frazier vs Rocky Marciano? Answer: i'll go for rocky marciano. he retired undefeated at 49-0.	Sports
i need a web site that will show me how to assist a child to tie their shoes? Answer: http://www.fieggen.com/shoelace/index.htm	Education and Reference
what year was a Puma White Hunter #6377 made? Answer: Germany 1977	Sports
what are the social views of people from different cultures on abstinence from sex? Answer: 	Society and Culture
when you try signing in to yahoo but can not because some 1 is signed on on another puter using my name.Catch? Answer: Ask yahoo.	Computers and Internet
Baby Naming problems? Answer: Zoe is a great name.	Entertainment and Music
which former raider made the worst hit on a player in football history? Answer: A close tie to Romo and Tatum	Sports
How do you make video games? Answer: it is something we call programming. to understand beyond that u need to major it in college or something.	Science and Mathematics
is chivalry still alive? do men hold open doors and pull out chairs for ladies? Answer: I'll open and shut a car door for someone and also hold open any door but i dont think i would bother with the chair stuff.	Family and Relationships
how many people use this during worktime? Answer: I'm at work using this now & it isn't my lunch break either. I have resigned & finish in less than a week so I DON'T CARE...	Business and Finance
Who will win the Daytona 500 on Sunday? Answer: A little late...but Jimmie Johnson won!	Sports
I saw two white bears (about the size of a brown bear) in the forest in Colorado. What kind of bear were they? Answer: white brown bears	Science and Mathematics
i will be able to settle abroad or not? Answer: VanWinkle is correct.  Each nation has their own rules for immigration and you must comply with those rules. Your desire has nothing to do with it if you do not meet their requirements.	Family and Relationships
why i can not attach files anymore with my email account? Answer: What account are u using?	Computers and Internet
War in Iraq. Cheney was CEO of Halliburton. Higher gas prices. The bush family  & oil. A connection? Answer: Well there is no connection between the two except that oil is used for gas...... bush did not do well in the oil business untell he was helped by the Arabs... Check on the movie documentery Faranheit 9 11	Politics and Government
what you think? Answer: Hi I just listened to your music - Its not to my taste but I think you are talented if it is written by you.	Entertainment and Music
is vin diseal gay? Answer: HANG ON ILL WAKE HIM UP AND ASK HIM.	Business and Finance
what does it mean to call someone a flake? Answer: Means they're unreliable.	Society and Culture
what about the idea that there is no such thing as universe? Answer: There is a scientific theory that our universe is in a larger multiverse.  Though there is no way to prove either way at this point.	Society and Culture
Did anyone vote for Bush that doesn't regret it? Be honest!? Answer: ... does anyone actually have any idea about who kerry or gore are?   It just sounds like you guys think they are the evil democrats bent on destroying America... hahaha...   do any of you actually have any knowledge of the issues?   It just sounds like everyone is reciting Rush word for word? No real reasons to back it up?	Politics and Government
i cant log in to messenger from my pc but i can log in from any another pc? Answer: 	Computers and Internet
wut can i said to a guy that i really like but he's locked up? Answer: There are alot of guys in jail who will write to ANYONE just to pass the time.  In case his other girls r not there waiting when he gets out he wants YOU to be waiting in line with the rest of them!  I would NOT write him back and I would not send him anything wither!  Once he gets out- take things very slowly to see if he has changed.  Life is way too short to waste on losers!  You need a real man who will love u and respect your feelings.  DROP this loser!	Family and Relationships
I would like to know what the codes mean on the DD214 in block #26 (separation code).? Answer: KBK or MBK are honorable discharges but their are about 75-100 different codes signifying one seperated from the military ie: family hardship is different from the code for someone who got thrown out in basic.  There are codes for lotsa stuff like that. the codes above are navy Army is a bit different but you get the idea.	Politics and Government
Can England win World Cup without Rooney? Answer: Nor with Rooney   ;-)	Sports
how many legs have the elephant? Answer: Four legs have the elepahant. Two points have I.	Science and Mathematics
whos better kobe bryant or t-mac? Answer: kobe bryant.	Sports
What are people take on wife swapping? Answer: i am bi so is my girlfriend so we swap for same sex often. it has made us close also and makes the sex more meaningful. hope this helps	Society and Culture
Who is the numanuma original maker? Answer: O-Zone and it was originially called Dragostea Din Tei	Entertainment and Music
what percent of teen moms have hiv/aids? Answer: Contact your state's health department and ask them what the statistics are of teen mothers who are given an HIV/AIDS diagnosis.	Health
Information I need  know about any software free to work  boundary element method? Answer: Try to watch here: http://www.google.it/search?hl=it&q=software+free+to+work+boundary+element+method&btnG=Cerca+con+Google&meta=	Computers and Internet
what are some cloning facts answer pls i have a project? Answer: try this site. http://www.ornl.gov/sci/techresources/Human_Genome/elsi/cloning.shtml	Science and Mathematics
Do any one knows about japan life magnetic bed or JLI herbal products pls contact me? Answer: Japan life - Magnetic bed. http://www.japanlife-net.co.jp/product/night.html  Unfortunately there is no English page.	Health
what makes a human muscle works? Answer: 	Health
what is your favorite color and tell why if you want too...? Answer: Red has always been my favorite color.  Maybe because it is so vibrant?	Entertainment and Music
do women masturbate? Answer: what means that ********* in your question ? ....could be everything ........ but yes they do think ;-)	Business and Finance
Conchoidal describes a type of ______? Answer: stone tools	Education and Reference
My ex-boyfriend is going online and looking at my cell phone bill. Not on my providers site. How can Istop him Answer: He can't do that.  If he is not listed on your account he can't access it.  I can't even access my husband's/	Business and Finance
Who has power over the school board? Answer: It depends on what the board has done. If it is a matter of being dismissed you need to consult with your union representative. If it is a matter of the board not answering your questions in an open and fair way you have a couple of options. First contact the superintendent of the board and advise them of your concern. If this doesn't work you can go to the director of the board of Education and be sure in both the above cases you have witnesses and documentation to back up your claim.	Politics and Government
is the golf ball lightest or the heaviest ball of all balls??? Answer: Neither. Witness PING PONG BALLS or BOWLING BALLS...	Science and Mathematics
where is there a good place to go fishing in the California bay area? Answer: Try Suisun Bay I have  ben there many of times good fishing.	Sports
Hickory dickory dock...why did the mouse run up the clock? Answer: Wanted the correct time.	Entertainment and Music
Should we be concerned about Literacy? Answer: yuo shuolt noit bee worrieyed aboit litaerecy or spellning. Noi won on da net hash a probuleem wif it!!!	Education and Reference
i used 2 xercise a yr back& became slim but now i hve slowly regaining& i'm lazy to continue i need moral help Answer: I HAVE NO MORAL ELIGIBLITY TO ADVICE YOU.I TOO IN THE SAME SITUATION AS YOU ARE...(-)	Sports
can you get an std by pericings and tattoos? Answer: STD stands for SEXUALLY TRANSMITTED DISEASES	Health
spare tyre? Answer: Try this;  http://healthydiettips.blogspot.com/2006/10/tips-11-best-flat-tummy-exercises.html	Health
i need a website where i can find local interior designers and architects.? Answer: Interior designers:	Business and Finance
What to do if your junior is made your HOD? Answer: sounds like someone needs a fekin slap.	Business and Finance
How do you watch television on your computer monitor? Answer: As others have suggested you can get a TV tuner card for your PC or you can download a software program to watch TV using the internet connection.  I use TVUPlayer and like it.  You should download and try it.  It's free.	Computers and Internet
OK - which would you find easier to give up? Answer: tv/internet  I'm a slut and need a daily seeing to x	Entertainment and Music
Who do you like more Hildi Santo Tomas or Paris Hilton? Answer: Hildi is a lot better then Paris.	Entertainment and Music
thanx sk ;)? Answer: You're welcome baby.	Entertainment and Music
who are the fifa world cup champions between year 1986 and 2002? Answer: 1986 Argentina 1990 West Germany 1994 Brazil 1998 France 2002 Brazil	Sports
Where cna I get Florida Building Code Training? Answer: The Florida building codes can be found at the Florida Building Commission website: http://www.floridabuilding.org/c/default.aspx  They also have an online training program available: http://www.floridabuilding.org/BCISOld/tr/tr_trai_regi.asp  Hope this helps!	Education and Reference
how long will it take for the san jose- colorado series?   what about the flames-oilers series? Answer: Sharks in 6 Oilers in 7	Sports
Habitial liar's fiance needs help.? Answer: This will only get worst. Leave.	Family and Relationships
which is the fastest body building program and how do i get it? Answer: Visit www.bodybuilding.com THis site has lots of information on body building and you can put together your own personalized training program based on your lifestyle and personal needs for optimal results. Hope it helps!  Happy Training!!!!	Health
what is cynomel 25mg used for? Answer: There u are ive found a website to answer this one for you.	Science and Mathematics
Does Anyone Know the guitar tab for the Volkswagen? Answer: try ultimate-guitar.com	Entertainment and Music
Should I make fantasy football trade? Answer: No. Romo had one good game and Bush is not very good. You could try to pick up Jay Cutler or Steven McNair who are decent QB's.	Sports
putnam premier income fund price in january 2002? Answer: Jan 31: $6.32  Jan 02: $6.07	Business and Finance
Is it safe to have sex during menstruation??? Answer: Yes . . . you can have sex . . . but it will be messy.  Make sure you have plenty of spray and wash . . . and make sure you use a condom . . . because she can still get pregnant while menstruating.	Family and Relationships
Vic Wertz---Willy Mays? Answer: What record are you referring to?	Sports
what is an ammeter made up of? Answer: Circuits & wires.	Science and Mathematics
why is it that catholic preists always seem to go for young boys?not girls? Answer: Cause some of those same Priests are Homosexuals (a violation of the Catholic faith by the way and such Priests who practice such things can and should be Excommunicated for it).  Not to mention a Priest should be Excommunicated for Molestation regardless of which Gender he molests.	Society and Culture
Bush thinks Jeb should be next Pres! What do you think? Answer: Bush thinks? I didn't know he was actually capable of forming a thought alone. I'm sure it was the person in his earpiece that told him to say that.	Politics and Government
web site to go to for homeland security watch? Answer: I believe this is what you are looking for: http://www.texasborderwatch.com/  Happy hunting!	Politics and Government
does anyone know exactly when the icse results for 2006 will be announced??plz reply with exact date and time. Answer: on 17thmay at 3:00 pm	Education and Reference
Sims 2 problem installing... UGH!!!!? Answer: if you want to know if your computer is strong enough to handle sims go here and click Start http://gameadvisor.futuremark.com/gameadvisor/service/game_scan.jsp	Computers and Internet
Are you destined for greatness? Answer: I know I'm not destined for greatness.  Especially on the track I'm on now.	Business and Finance
Remember When? Answer: screwing up is a human condition.  This is why our form of government is the best.  Every few years we get new influence.  You don't throw out the baby with the bathwater.	Politics and Government
Looking for articles about the BENEFITS of living together before marriage.? Answer: You will get to know the person.......REALLY KNOW THE PERSON.....I think it's a good idea to live with someone before marriage. There might be things that you REALLY REALLLY don't like about that person. Might not be who you think they are.	Family and Relationships
does anyone besides me despise soccer? Answer: no you are not alone i hate it to and most of my friends	Sports
What are 100 digits of pi? Answer: 3.1415926535 8979323846 2643383279 5028841971 6939937510 5820974944 5923078164 0628620899 8628034825 3421170679 8214808651 3282306647 0938446095 5058223172 5359408128 4811174502 8410270193 8521105559 6446229489 5493038196 4428810975 6659334461 2847564823 3786783165 2712019091 4564856692 3460348610 4543266482 1339360726 0249141273 7245870066 0631558817 4881520920 9628292540 9171536436 7892590360 0113305305 4882046652 1384146951 9415116094 3305727036 5759591953 0921861173 8193261179 3105118548 0744623799 6274956735 1885752724 8912279381 8301194912 9833673362 4406566430 8602139494 6395224737 1907021798 6094370277 0539217176 2931767523 8467481846 7669405132 0005681271 4526356082 7785771342 7577896091 7363717872 1468440901 2249534301 4654958537 1050792279 6892589235 4201995611 2129021960 8640344181 5981362977 4771309960 5187072113 4999999837 2978049951 0597317328 1609631859 5024459455 3469083026 4252230825 3344685035 2619311881 7101000313 7838752886 5875332083 8142061717 7669147303 5982534904 2875546873 1159562863 8823537875 9375195778 1857780532 1712268066 1300192787 6611195909 2164201989	Business and Finance
What question is impossible to answer yes to? Answer: are you dead or are you asleep	Entertainment and Music
How long does a question stay in voting on yahoo answers? Answer: I'm pretty sure a question will be in voting for 7 days unless there is a tie. To view the ongoing process of the vote just click on the question in the My Q&A section and you will be able to view which answers have attracted votes. Once the question you asked is resolved you should receive and email from Yanswers.  I hope this helped.	Computers and Internet
Has anyone ever been on a Jello diet? Answer: Like I said before; I've had 'experience' with this diet and I swear by it. Also John Malkovich went on this diet when he was in high school or something and lost 70 pounds!	Health
chinese horiscope? Answer: Horse	Business and Finance
what are the roles of stocktaking in store administration.? Answer: First get hold of the BOOK STOCK thats is the quantity in stock as per the books.  Then you have to decide whic items or which bins or what type of items you are physically going to count or measure or weigh. Form various help groups. Organise the teams. Ensure that every department draw their quantities for the day in advance and do not clash with counting . You must know the easy methods of counting etc. Also let not any fresh stock be allowed to get mixed up when counting is in progress. SO simple.	Education and Reference
How do ppl make those cool characters when they type? Like hearts n stuff etc...share watever u know...thanx!? Answer: ¿ alt 1 6 8 ¿¿¿ that is all i know... sorry i couldnt be of more help	Computers and Internet
what is the capital of sri lanka? Answer: Capital of Sri Lanka is Sri Jayewardenepura Kotte Largest city of Sri Lanka is Colombo	Business and Finance
whats the best website on how to build a website? Answer: http://www.webmonkey.com	Computers and Internet
How do you remove the colour from lemon squash? (from yellow to clear)? Answer: by just heating it	Science and Mathematics
what is the best way to remember english vocabulary? especially when reading a novel.? Answer: Very good question. I liked it very much.  The best way for remembering anything in Education is: Mindmapping. Association. Try to associate with anything and recall.   Revise as much as possible. If possible Record on cd or tape those vocabulary and use Walkman or tape to listen in free time.  You can use this method for a lot of purposes.  Remember: Those who ask about problem learns fast.	Education and Reference
Is it wrong to steal a loaf of bread to feed your starving family? Answer: Legally this wrong. Morally this may be considered appropriate by some. Socially this is a reflection of not taking care of the poor.have a great day.	Politics and Government
adversity spiritual quotient? Answer: This sounds interesting.What is it?	Business and Finance
whats wrong with me!!!??? Answer: Maybe some guys are just to shy to ask you out or approach you because they think you're so pretty. If you like someone and they don't approach you then go for it GURL!!You know they think you're hot.It's just that they're all scared.	Family and Relationships
I'm trying to find a website that i can download real music ringtones for my cingular phone? Answer: Have you tried Cingular.com? They have lots.	Entertainment and Music
help!!!!!!!!!!!!!!!!!!? Answer: Usher and Chris Brown	Entertainment and Music
How many time have you locked you husband out of the house? Answer: MY boyfriend probably 5 times.  But it was my house and he was a drunk jerk most of the times.	Entertainment and Music
accupuncture ear staple somewhere near Lexington Tn.? Answer: Don't do it. It doesn't work.	Health
Now how bout this one?? Answer: half dollar and a nickel...:)	Entertainment and Music
do you  think that christians who convert to muslim have been brainwashed? Answer: no i don't think that i know damned well they have and they had a weak mind to start with.	Society and Culture
